,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic,rf-gini,rf-entropy
0,0.001,0.9888124807554141,0.9866423800850029,,0.9906045751633987,0.5951047247929858,0.36616237267825047,0.18640902507813098,0.5528354158421439
1,0.002,0.989448051948052,0.9423355549116198,0.6933899237601194,0.9904120767033864,0.512186173279522,0.3437412095639944,0.05400183281624362,0.5713450975809279
2,0.005,0.9743384922616075,0.7849686847599164,0.6675863971856245,0.9907379134860052,0.5783246568859441,0.3323474417814041,0.05350325438932342,0.5059767141009056
3,0.01,0.9591275299665947,0.750499001996008,0.6675863971856245,0.9890377588306942,0.6113438809330248,0.3719904149709025,0.05428684007525348,0.05334714912878684
4,0.02,0.9426640926640928,0.6837284106006574,0.8603746907034289,0.9846526655896607,0.5531722225366461,0.39773836641718185,0.4133355869179413,0.05302155660709737
5,0.05,0.8910583941605839,0.7471150171952617,0.860978625684508,0.9717131474103586,0.5383259911894273,0.5445428714691626,0.432642945654098,0.05444425891912951
6,0.1,0.8368430063345319,0.7288451502273913,0.860826563051925,0.9563087774294671,0.5704282880149376,0.6087660316274437,0.569596423108601,0.43108388063648795
7,0.2,0.827072758037225,0.7371437188960941,0.8363013698630138,0.9318203490035283,0.5778959810874704,0.6336595165575789,0.8071446625663492,0.5694752833937128
8,0.5,0.7490613746073099,0.6936719636776391,0.8035831689677845,0.8847058823529411,0.5881008241592973,0.745178748380212,,0.8416550279329609
9,1.0,0.6338585229851521,0.6973759269823161,0.783305295201474,0.8369863013698631,0.6473314792742683,0.7635114026866604,,
10,5.0,0.6602282704126426,0.5714953544089288,0.6660309243239562,0.7350375939849625,0.8068003631261863,0.9206857573474001,,
11,10.0,0.6507788576754093,0.5559345156889495,0.6421909890975963,0.6889358703312193,0.864367816091954,0.9543454883175286,,
12,20.0,0.5882777710915874,0.6062221120475954,0.6352650727650727,0.6526906128989185,0.9243284146802876,0.9742360695026961,,
13,50.0,0.5602934433745989,0.5804536278351741,0.6296606349410779,0.6350587776839643,0.9643315877877682,0.9890377588306942,,
14,100.0,0.5607755406413125,0.5796620219389268,0.6259522437744063,0.6269154324549593,0.9824738114423851,0.9903248803340462,,
15,200.0,0.5607755406413125,0.5804536278351741,0.6240745468470767,0.6224457317461328,0.9888370204992897,0.9907057501787356,,
16,500.0,0.52494227568061,0.580522565320665,0.6249920102269096,0.6188215935700272,0.9907246967689328,,,
17,1000.0,0.5245197982616161,0.5804536278351741,0.6234064252932178,0.6180002528125395,0.9901900674432864,,,
18,2000.0,0.5245197982616161,0.5804536278351741,0.6241940631982125,0.6170642433421684,,0.0259651375319325,,
19,5000.0,0.5247450348899624,0.580522565320665,0.6232392121868826,0.6165584210858188,0.0259651375319325,0.0259651375319325,,
